fuel,location,brand,year,subcategory,transmission,price
Gasolina,Lima,AUDI,2024,Camioneta,Automática - Secuencial,36900.0
Gasolina,Lima,CHERY,2020,Camioneta,Automática - Secuencial,9900.0
Gasolina,Lima,FORD,2025,Camioneta,Automática,25900.0
Gasolina,Lima,MERCEDES BENZ,2018,Camioneta,Automática - Secuencial,39900.0
Gasolina,Lima,MERCEDES BENZ,2024,Camioneta,Automática - Secuencial,164000.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática - Secuencial,19900.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,27500.0
Gasolina,Lima,JEEP,2013,Camioneta,Mecánica,34900.0
Gasolina,Lima,AUDI,2024,Sedán,Automática - Secuencial,30990.0
Diesel,Lima,LEXUS,2023,Camioneta,Automática - Secuencial,92900.0
Diesel,Lima,VOLKSWAGEN,2018,Pick Up,Mecánica,24500.0
gas,Lima,JETOUR,2023,Camioneta,Mecánica,16490.0
Gasolina,Lima,JEEP,2012,Camioneta,Automática - Secuencial,15900.0
Gasolina,Lima,NISSAN,2024,Camioneta,Automática,34500.0
Gasolina,Lima,VOLKSWAGEN,2024,Camioneta,Automática - Secuencial,57900.0
Diesel,Lima,MITSUBISHI,2019,Camioneta,Automática - Secuencial,38000.0
Gasolina,Lima,AUDI,2017,Sedán,Automática,17900.0
gas,Lima,KIA,2025,Camioneta,Automática,25990.0
Diesel,Arequipa,FORD,2024,Pick Up,Automática - Secuencial,38000.0
hibrido,Lima,TOYOTA,2026,Camioneta,Automática - Secuencial,33500.0
Gasolina,Lima,TOYOTA,2020,Hatchback,Automática,10500.0
Gasolina,Lima,BMW,2021,Camioneta,Automática - Secuencial,62900.0
Gasolina,Lima,JEEP,2015,Camioneta,Automática - Secuencial,18900.0
Gasolina,Lima,AUDI,2018,Sedán,Automática - Secuencial,19300.0
Gasolina,Lima,CHEVROLET,2023,Camioneta,Automática - Secuencial,68900.0
Gasolina,Lima,TOYOTA,2019,Camioneta,Mecánica,36900.0
hibrido,Lima,MERCEDES BENZ,2024,Camioneta,Automática - Secuencial,98900.0
Gasolina,Lima,RENAULT,2023,Camioneta,Mecánica,16900.0
Gasolina,Lima,MERCEDES BENZ,2020,Camioneta,Automática,34990.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática,25500.0
gas,Lima,KIA,2020,Sedán,Mecánica,11490.0
Gasolina,Lima,NISSAN,2014,Sedán,Mecánica,8990.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Mecánica,52000.0
Gasolina,Lima,CHEVROLET,2022,Camioneta,Automática,15500.0
Diesel,Lima,MITSUBISHI,2017,Camioneta,Automática - Secuencial,33900.0
Gasolina,Lima,JAGUAR,2018,Camioneta,Automática - Secuencial,26500.0
Gasolina,Lima,JEEP,2023,Camioneta,Automática,66900.0
Gasolina,Lima,MERCEDES BENZ,2015,Sedán,Automática - Secuencial,47500.0
Gasolina,Lima,AUDI,2012,Camioneta,Automática,16990.0
hibrido,Lima,LEXUS,2019,Camioneta,Automática - Secuencial,48000.0
Diesel,Lima,BMW,2016,Camioneta,Automática - Secuencial,55000.0
Gasolina,Lima,JEEP,2025,Camioneta,Automática,39900.0
Gasolina,Arequipa,VOLVO,2020,Camioneta,Automática,26000.0
Gasolina,Lima,PEUGEOT,2021,Camioneta,Mecánica,17490.0
Gasolina,Lima,JEEP,2013,Camioneta,Automática - Secuencial,16900.0
hibrido,Lima,AUDI,2021,Camioneta,Automática,35900.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática,63500.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática,40700.0
Gasolina,Lima,BMW,2015,Sedán,Automática - Secuencial,19500.0
Gasolina,Lima,HYUNDAI,2025,Camioneta,Automática - Secuencial,39900.0
hibrido,Lima,HYUNDAI,2024,Sedán,Mecánica,10900.0
Diesel,Lima,MITSUBISHI,2009,Camioneta,Automática - Secuencial,18900.0
hibrido,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,29500.0
Gasolina,Lima,LAND ROVER,2024,Camioneta,Automática,62990.0
Gasolina,Lima,JEEP,2019,Camioneta,Automática - Secuencial,81500.0
Gasolina,Arequipa,HONDA,2022,Camioneta,Automática - Secuencial,26900.0
Gasolina,Lima,TOYOTA,2023,Hatchback,Automática,11500.0
Diesel,Lima,LEXUS,2024,Camioneta,Automática - Secuencial,135000.0
Gasolina,Lima,LAND ROVER,2017,Camioneta,Automática - Secuencial,69900.0
hibrido,Lima,MERCEDES BENZ,2024,Deportivo,Automática,55900.0
Gasolina,Lima,AUDI,2015,Sedán,Automática - Secuencial,28900.0
Gasolina,Lima,VOLKSWAGEN,2023,Sedán,Mecánica,16990.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,23200.0
hibrido,Lima,TOYOTA,2023,Camioneta,Automática - Secuencial,25000.0
Gasolina,Lima,BMW,2019,Deportivo,Automática - Secuencial,57990.0
Gasolina,Lima,MERCEDES BENZ,2024,Camioneta,Automática,44500.0
Gasolina,Lima,CHERY,2023,Camioneta,Mecánica,18900.0
Gasolina,Lima,FORD,2024,Pick Up,Automática - Secuencial,59990.0
Gasolina,Lima,TOYOTA,2014,Camioneta,Automática - Secuencial,18800.0
Gasolina,Lima,AUDI,2016,Hatchback,Automática - Secuencial,58900.0
Gasolina,Lima,FORD,2015,Camioneta,Mecánica,12390.0
Gasolina,Lima,MERCEDES BENZ,2016,Sedán,Automática - Secuencial,20500.0
Gasolina,Lima,BMW,2023,Camioneta,Automática,85991.0
Gasolina,Lima,TOYOTA,2022,Camioneta,Automática - Secuencial,23000.0
Gasolina,Lima,MERCEDES BENZ,2022,Camioneta,Automática - Secuencial,55900.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,16900.0
Gasolina,Lima,BMW,2022,Camioneta,Automática,42900.0
Gasolina,Lima,VOLKSWAGEN,2009,Sedán,Mecánica,11500.0
Gasolina,Lima,FORD,2025,Camioneta,Automática - Secuencial,165900.0
hibrido,Lima,BMW,2023,Sedán,Automática,55991.0
Gasolina,Lima,FORD,2019,Camioneta,Automática - Secuencial,13900.0
hibrido,Lima,AUDI,2022,Sedán,Automática - Secuencial,49900.0
hibrido,Lima,MAZDA,2024,Camioneta,Automática - Secuencial,51500.0
Gasolina,Lima,VOLKSWAGEN,2024,Camioneta,Automática,23990.0
gas,Lima,TOYOTA,2025,Camioneta,Automática,83000.0
Gasolina,Lima,KIA,2019,Camioneta,Automática,17900.0
Gasolina,Lima,MERCEDES BENZ,2021,Camioneta,Automática,33900.0
Gasolina,Lima,SUBARU,2020,Sedán,Automática,25500.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática - Secuencial,18900.0
gas,Lima,VOLKSWAGEN,2022,Sedán,Mecánica,11490.0
Gasolina,Lima,MAZDA,2018,Camioneta,Automática - Secuencial,18500.0
Gasolina,Lima,PEUGEOT,2023,Camioneta,Automática,19900.0
Gasolina,Lima,MERCEDES BENZ,2017,Camioneta,Automática,28500.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática - Secuencial,23500.0
Gasolina,Lima,JEEP,2024,Camioneta,Automática,27900.0
Gasolina,Lima,VOLKSWAGEN,2024,Camioneta,Automática - Secuencial,27900.0
Gasolina,Lima,SUZUKI,2017,Camioneta,Mecánica,12900.0
Gasolina,Lima,MERCEDES BENZ,2022,Hatchback,Automática,24490.0
Gasolina,Lima,BMW,2019,Deportivo,Automática - Secuencial,62900.0
hibrido,Lima,LAND ROVER,2025,Camioneta,Automática - Secuencial,119900.0
Gasolina,Lima,SUBARU,2020,Camioneta,Automática,27990.0
Gasolina,Lima,PEUGEOT,2022,Camioneta,Automática,22900.0
Gasolina,Lima,BMW,2021,Sedán,Automática - Secuencial,42500.0
hibrido,Lima,LAND ROVER,2024,Camioneta,Automática,159990.0
hibrido,Lima,TOYOTA,2018,Camioneta,Automática - Secuencial,45900.0
hibrido,Lima,MAZDA,2024,Camioneta,Automática,50000.0
Gasolina,Lima,AUDI,2015,Camioneta,Automática,14900.0
Gasolina,Lima,SUZUKI,2019,Camioneta,Automática,16000.0
Gasolina,Lima,SUZUKI,2024,Camioneta,Automática,18900.0
Gasolina,Lima,FORD,2024,Camioneta,Automática - Secuencial,69900.0
Gasolina,Lima,LOTUS,2008,Deportivo,Mecánica,29900.0
Gasolina,Lima,CHEVROLET,2017,Camioneta,Automática - Secuencial,19900.0
gas,Lima,NISSAN,2023,Camioneta,Mecánica,17000.0
hibrido,Lima,VOLVO,2024,Camioneta,Automática,39990.0
Gasolina,Lima,FORD,2021,Camioneta,Automática,44900.0
Gasolina,Lima,JEEP,2025,Camioneta,Automática,84900.0
Gasolina,Arequipa,MITSUBISHI,2015,Camioneta,Automática - Secuencial,13900.0
hibrido,Lima,MAZDA,2015,Camioneta,Automática - Secuencial,16500.0
hibrido,Arequipa,TOYOTA,2025,Camioneta,Automática - Secuencial,33000.0
Gasolina,Lima,HYUNDAI,2022,Camioneta,Automática,27000.0
Gasolina,Lima,AUDI,2021,Camioneta,Automática,35900.0
Gasolina,Lima,SUZUKI,2023,Camioneta,Mecánica,19000.0
Gasolina,Lima,MAZDA,2024,Camioneta,Automática,32500.0
Gasolina,Lima,CHERY,2023,Camioneta,Automática,13900.0
Gasolina,Lima,BMW,2021,Camioneta,Automática,40900.0
Diesel,Lima,FORD,2022,Pick Up,Mecánica,26900.0
hibrido,Lima,JAGUAR,2022,Camioneta,Automática,67990.0
Gasolina,Lima,AUDI,2025,Camioneta,Automática,35000.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática,18900.0
Gasolina,Lima,FORD,2024,Camioneta,Automática,24000.0
Gasolina,Lima,VOLKSWAGEN,2020,Camioneta,Automática - Secuencial,20900.0
Gasolina,Lima,MERCEDES BENZ,2021,Camioneta,Automática,35900.0
Gasolina,Lima,DODGE,2018,Camioneta,Automática,15900.0
Gasolina,Lima,BMW,2014,Camioneta,Automática - Secuencial,21500.0
Gasolina,Lima,LAND ROVER,2017,Camioneta,Automática - Secuencial,65900.0
Gasolina,Lima,AUDI,2018,Hatchback,Automática - Secuencial,24900.0
gas,Lima,NISSAN,2018,Camioneta,Automática,14500.0
Gasolina,Lima,JETOUR,2023,Camioneta,Automática - Secuencial,17900.0
Gasolina,Lima,PEUGEOT,2021,Camioneta,Automática,22000.0
Gasolina,Lima,MINI,2022,Camioneta,Automática - Secuencial,40900.0
Gasolina,Lima,MASERATI,2019,Sedán,Automática,65900.0
Gasolina,Lima,MINI,2025,Camioneta,Automática,36000.0
hibrido,Lima,PORSCHE,2024,Camioneta,Automática - Secuencial,112900.0
hibrido,Lima,MERCEDES BENZ,2023,Camioneta,Automática,145900.0
hibrido,Lima,VOLVO,2022,Camioneta,Automática,48990.0
Gasolina,Lima,BMW,2024,Camioneta,Automática,98991.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática,23000.0
Gasolina,Lima,HYUNDAI,2023,Camioneta,Automática,23000.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,18000.0
Gasolina,Lima,BMW,2021,Camioneta,Automática,34200.0
Gasolina,Lima,BMW,2017,Sedán,Automática - Secuencial,17900.0
Diesel,Lima,TOYOTA,2022,Pick Up,Automática - Secuencial,45000.0
