COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
ÁNCASH,INGENIERÍA DE TELECOMUNICACIONES,FEMENINO,NO,4,20
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,5,21
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,19
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
VENEZUELA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,4,21
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,6,22
LIMA,FÍSICA,MASCULINO,SI,1,17
AYACUCHO,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA NAVAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,5,21
ICA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
ICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,11,27
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
CAJAMARCA,ARQUITECTURA,FEMENINO,NO,4,21
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,18
PIURA,ARQUITECTURA,FEMENINO,NO,6,22
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
AMAZONAS,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,20
LIMA,INGENIERÍA SANITARIA,MASCULINO,NO,5,22
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
ANCASH,INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,MASCULINO,NO,2,19
TACNA,ARQUITECTURA,FEMENINO,NO,2,19
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,SI,3,19
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,17
HUANUCO,INGENIERÍA QUÍMICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,1,17
