Fuel_Type,Drivetrain_4WD,Drivetrain_Front Wheel Drive,Drivetrain_Rear Wheel Drive,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Fuel_Consumption_l,Gears,Power_hp,Engine_Size_cc,Cylinders,Seats,Doors,Full_Service_History,Non_Smoker_Vehicle,Previous_Owners
0.0,0.0,1.0,0.0,1.0,0.0,0.0,98000.0,16.9,2020.0,6.7,6.0,179.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,91500.0,12.5,2017.0,6.0,5.0,165.0,1368.0,4.0,4.0,3.0,0.0,1.0,4.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,40000.0,17.99,2015.0,6.5,5.0,300.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,133000.0,9.3,2008.0,6.5,5.0,160.0,1368.0,4.0,4.0,3.0,1.0,1.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,61019.0,14.99,2021.0,7.0,6.0,145.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,7423.0,23.3,2019.0,6.5,5.0,179.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,66678.0,14.9,2019.0,6.6,5.0,145.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,98000.0,17.99,2019.0,6.7,6.0,179.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,29999.0,18.8,2018.0,6.8,5.0,179.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,4230.0,25.99,2025.0,7.0,6.0,155.0,2275.0,5.0,4.0,3.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,24000.0,15.5,2016.0,7.0,5.0,140.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,45542.0,19.485,2020.0,7.0,5.0,179.0,1368.0,4.0,4.0,3.0,0.0,1.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,19000.0,21.99,2021.0,6.8,5.0,179.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,139000.0,8.799,2013.0,7.0,6.0,135.0,1368.0,4.0,4.0,2.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,120436.0,10.945,2013.0,7.0,6.0,135.0,1368.0,4.0,4.0,2.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,29000.0,21.9,2022.0,6.8,5.0,179.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,40323.0,20.8,2023.0,7.0,6.0,179.0,1368.0,4.0,4.0,2.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,50300.0,16.49,2022.0,7.0,5.0,145.0,2275.0,4.0,5.0,3.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,105000.0,9.9,2009.0,6.5,5.0,135.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,12543.0,24.995,2020.0,7.0,5.0,179.0,1368.0,5.0,4.0,3.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,12563.0,22.95,2021.0,7.0,5.0,165.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,42349.0,18.475,2022.0,7.0,5.0,145.0,1368.0,4.0,4.0,3.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0,26.99,2024.0,7.0,5.0,155.0,2275.0,1.0,4.0,2.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,2640.0,37.99,2025.0,7.0,6.0,280.0,2275.0,5.0,5.0,5.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,25000.0,16.99,2018.0,6.0,5.0,165.0,1368.0,4.0,4.0,3.0,1.0,1.0,1.0
