SEXO,INGRESO,ESPECIALIDAD_ARQUITECTURA,ESPECIALIDAD_CIENCIA DE LA COMPUTACIÓN,ESPECIALIDAD_FÍSICA,ESPECIALIDAD_INGENIERÍA AMBIENTAL,ESPECIALIDAD_INGENIERÍA CIVIL,ESPECIALIDAD_INGENIERÍA DE CIBERSEGURIDAD,ESPECIALIDAD_INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,ESPECIALIDAD_INGENIERÍA DE MINAS,ESPECIALIDAD_INGENIERÍA DE PETRÓLEO Y GAS NATURAL,ESPECIALIDAD_INGENIERÍA DE SISTEMAS,ESPECIALIDAD_INGENIERÍA DE SOFTWARE,ESPECIALIDAD_INGENIERÍA DE TELECOMUNICACIONES,ESPECIALIDAD_INGENIERÍA ECONÓMICA,ESPECIALIDAD_INGENIERÍA ELECTRÓNICA,ESPECIALIDAD_INGENIERÍA ELÉCTRICA,ESPECIALIDAD_INGENIERÍA ESTADÍSTICA,ESPECIALIDAD_INGENIERÍA FÍSICA,ESPECIALIDAD_INGENIERÍA GEOLÓGICA,ESPECIALIDAD_INGENIERÍA INDUSTRIAL,ESPECIALIDAD_INGENIERÍA MECATRÓNICA,ESPECIALIDAD_INGENIERÍA MECÁNICA,ESPECIALIDAD_INGENIERÍA MECÁNICA-ELÉCTRICA,ESPECIALIDAD_INGENIERÍA METALÚRGICA,ESPECIALIDAD_INGENIERÍA NAVAL,ESPECIALIDAD_INGENIERÍA PETROQUÍMICA,ESPECIALIDAD_INGENIERÍA QUÍMICA,ESPECIALIDAD_INGENIERÍA SANITARIA,ESPECIALIDAD_INGENIERÍA TEXTIL,ESPECIALIDAD_MATEMÁTICA,ESPECIALIDAD_QUÍMICA,COLEGIO_DEPA_AMAZONAS,COLEGIO_DEPA_ANCASH,COLEGIO_DEPA_APURIMAC,COLEGIO_DEPA_APURÍMAC,COLEGIO_DEPA_AREQUIPA,COLEGIO_DEPA_ARGENTINA,COLEGIO_DEPA_AYACUCHO,COLEGIO_DEPA_CAJAMARCA,COLEGIO_DEPA_CALLAO,COLEGIO_DEPA_CANADA,COLEGIO_DEPA_CHILE,COLEGIO_DEPA_COLOMBIA,COLEGIO_DEPA_CUSCO,COLEGIO_DEPA_ECUADOR,COLEGIO_DEPA_ESPAÑA,COLEGIO_DEPA_HUANCAVELICA,COLEGIO_DEPA_HUANUCO,COLEGIO_DEPA_HUÁNUCO,COLEGIO_DEPA_ICA,COLEGIO_DEPA_ITALIA,COLEGIO_DEPA_JUNIN,COLEGIO_DEPA_JUNÍN,COLEGIO_DEPA_LA LIBERTAD,COLEGIO_DEPA_LAMBAYEQUE,COLEGIO_DEPA_LIMA,COLEGIO_DEPA_LORETO,COLEGIO_DEPA_MADRE DE DIOS,COLEGIO_DEPA_MOQUEGUA,COLEGIO_DEPA_PASCO,COLEGIO_DEPA_PIURA,COLEGIO_DEPA_PUNO,COLEGIO_DEPA_SAN MARTIN,COLEGIO_DEPA_SAN MARTÍN,COLEGIO_DEPA_TACNA,COLEGIO_DEPA_TUMBES,COLEGIO_DEPA_UCAYALI,COLEGIO_DEPA_VENEZUELA,COLEGIO_DEPA_ÁNCASH,egreso_postulacion,edad
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,21.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0
