Rooms,Price,Regionname,Distance
3,1490000.0,Northern Metropolitan,3.0
3,1220000.0,Northern Metropolitan,3.0
3,1420000.0,Northern Metropolitan,3.0
3,1515000.0,Western Metropolitan,7.5
2,670000.0,Western Metropolitan,10.4
2,530000.0,Western Metropolitan,10.4
2,540000.0,Western Metropolitan,10.4
3,715000.0,Western Metropolitan,10.4
3,1925000.0,Southern Metropolitan,3.0
3,515000.0,Western Metropolitan,10.5
4,717000.0,Western Metropolitan,10.5
2,1675000.0,Northern Metropolitan,5.7
4,2008000.0,Northern Metropolitan,5.7
2,860000.0,Western Metropolitan,11.0
3,720000.0,Western Metropolitan,9.4
2,836000.0,Southern Metropolitan,6.3
2,2110000.0,Southern Metropolitan,6.3
3,1386000.0,Southern Metropolitan,6.3
2,580000.0,Southern Metropolitan,6.3
1,355000.0,Southern Metropolitan,6.3
3,1123100.0,Western Metropolitan,4.3
3,1270000.0,Southern Metropolitan,10.2
3,1610000.0,Southern Metropolitan,10.2
4,1435000.0,Southern Metropolitan,10.2
4,1431000.0,South-Eastern Metropolitan,21.5
4,996000.0,South-Eastern Metropolitan,21.5
4,825000.0,Western Metropolitan,9.5
2,660800.0,Southern Metropolitan,7.9
2,700000.0,Southern Metropolitan,7.9
5,2700000.0,Southern Metropolitan,7.9
3,2035000.0,Southern Metropolitan,7.9
3,955000.0,Southern Metropolitan,7.9
4,1810000.0,Southern Metropolitan,7.9
4,1850000.0,Southern Metropolitan,9.7
4,2600000.0,Southern Metropolitan,9.7
3,1220000.0,Southern Metropolitan,9.7
4,2470000.0,Southern Metropolitan,9.7
2,800000.0,Southern Metropolitan,9.7
4,880000.0,Eastern Metropolitan,23.2
4,1285000.0,Southern Metropolitan,17.3
2,835000.0,Southern Metropolitan,17.3
4,1445000.0,Southern Metropolitan,17.3
4,1435000.0,Southern Metropolitan,17.3
3,675000.0,Eastern Metropolitan,8.8
4,1300000.0,Southern Metropolitan,11.4
4,1500000.0,Southern Metropolitan,11.4
3,1340000.0,Southern Metropolitan,11.4
3,1400000.0,Southern Metropolitan,13.8
2,775000.0,Southern Metropolitan,13.8
3,920000.0,Southern Metropolitan,13.8
2,1220000.0,Southern Metropolitan,13.8
2,1130000.0,Southern Metropolitan,13.8
