Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Rooms,Price,Distance
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.49,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.22,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.42,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.515,7.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.67,10.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.53,10.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.54,10.4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.715,10.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.925,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.515,10.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.717,10.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.675,5.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.008,5.7
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.86,11.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.72,9.4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.836,6.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.11,6.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.386,6.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.58,6.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.355,6.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.1231,4.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.27,10.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.61,10.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.435,10.2
