fuel,location,price,year,subcategory,transmission
gasolina,lima,10900.0,2021,otros,mecanica
gasolina,lima,30990.0,2020,camioneta,secuencial
gasolina,lima,19900.0,2020,camioneta,automatica
gasolina,lima,279000.0,2022,deportivo,secuencial
gasolina,lima,13900.0,2017,camioneta,secuencial
otro,lima,99900.0,2023,camioneta,automatica
gasolina,lima,15900.0,2018,camioneta,automatica
gasolina,lima,27990.0,2024,camioneta,automatica
gasolina,lima,7900.0,2015,otros,mecanica
gasolina,lima,18900.0,2020,camioneta,automatica
gasolina,lima,32500.0,2019,camioneta,secuencial
gasolina,lima,57900.0,2022,otros,automatica
gasolina,lima,23000.0,2023,camioneta,automatica
gasolina,lima,22900.0,2014,camioneta,secuencial
otro,lima,26900.0,2024,camioneta,secuencial
otro,lima,53900.0,2025,camioneta,automatica
gasolina,provincia,15900.0,2016,otros,secuencial
gasolina,lima,55900.0,2022,camioneta,secuencial
gasolina,lima,22900.0,2018,camioneta,secuencial
gasolina,lima,19900.0,2017,camioneta,automatica
otro,lima,16500.0,2015,camioneta,secuencial
otro,lima,75000.0,2022,camioneta,secuencial
gasolina,lima,11900.0,2015,camioneta,mecanica
gasolina,lima,30900.0,2023,otros,automatica
gasolina,lima,27000.0,2022,camioneta,automatica
gasolina,lima,21900.0,2016,camioneta,secuencial
gasolina,lima,99990.0,2024,otros,secuencial
gasolina,lima,16990.0,2023,otros,mecanica
otro,lima,52500.0,2024,otros,secuencial
gasolina,lima,36000.0,2025,camioneta,automatica
gasolina,lima,20900.0,2020,otros,secuencial
otro,lima,25900.0,2016,otros,mecanica
otro,lima,32000.0,2025,camioneta,secuencial
gasolina,lima,64900.0,2025,deportivo,secuencial
gasolina,lima,62990.0,2023,camioneta,secuencial
gasolina,lima,11900.0,2015,camioneta,automatica
gasolina,lima,26000.0,2017,camioneta,automatica
otro,lima,109900.0,2024,camioneta,automatica
gasolina,lima,12900.0,2020,camioneta,mecanica
gasolina,lima,164000.0,2024,camioneta,secuencial
gasolina,lima,32500.0,2020,camioneta,automatica
gasolina,lima,23000.0,2022,camioneta,secuencial
gasolina,lima,81500.0,2019,camioneta,secuencial
otro,lima,33900.0,2017,camioneta,secuencial
gasolina,lima,15990.0,2018,otros,secuencial
otro,provincia,42000.0,2024,otros,automatica
gasolina,lima,23000.0,2021,camioneta,automatica
gasolina,lima,47500.0,2015,otros,secuencial
gasolina,lima,43900.0,2023,camioneta,secuencial
gasolina,lima,23000.0,2013,camioneta,secuencial
otro,provincia,38000.0,2024,otros,secuencial
gasolina,lima,32900.0,2018,camioneta,automatica
otro,lima,78900.0,2023,camioneta,secuencial
gasolina,lima,17900.0,2021,camioneta,mecanica
gasolina,lima,72500.0,2025,otros,automatica
otro,lima,27990.0,2023,otros,mecanica
gasolina,lima,19900.0,2018,camioneta,secuencial
gasolina,lima,37500.0,2023,camioneta,automatica
gasolina,provincia,59000.0,2023,camioneta,secuencial
