fuel,price,year,subcategory,transmission
Gasolina,10900.0,2021,sedan,mecanica
Gasolina,19900.0,2020,camioneta,automatica
Gasolina,15900.0,2018,camioneta,automatica
Gasolina,27990.0,2024,camioneta,automatica
Gasolina,7900.0,2015,sedan,mecanica
Gasolina,18900.0,2020,camioneta,automatica
Gasolina,23000.0,2023,camioneta,automatica
Gasolina,19900.0,2017,camioneta,automatica
Gasolina,11900.0,2015,camioneta,mecanica
Gasolina,30900.0,2023,sedan,automatica
Gasolina,27000.0,2022,camioneta,automatica
Gasolina,16990.0,2023,sedan,mecanica
Gasolina,36000.0,2025,camioneta,automatica
Gasolina,11900.0,2015,camioneta,automatica
Gasolina,26000.0,2017,camioneta,automatica
Gasolina,12900.0,2020,camioneta,mecanica
Gasolina,32500.0,2020,camioneta,automatica
Gasolina,23000.0,2021,camioneta,automatica
Gasolina,32900.0,2018,camioneta,automatica
Gasolina,17900.0,2021,camioneta,mecanica
Gasolina,37500.0,2023,camioneta,automatica
Gasolina,28590.0,2025,camioneta,automatica
Gasolina,52900.0,2022,camioneta,automatica
Gasolina,17500.0,2018,camioneta,automatica
Gasolina,24900.0,2018,camioneta,automatica
Gasolina,154990.0,2023,camioneta,automatica
Gasolina,23700.0,2019,camioneta,automatica
Gasolina,17500.0,2012,camioneta,automatica
Gasolina,36690.0,2023,camioneta,automatica
Gasolina,10990.0,2023,sedan,mecanica
Gasolina,18900.0,2021,camioneta,automatica
Gasolina,22900.0,2008,camioneta,automatica
Gasolina,14490.0,2023,camioneta,mecanica
Gasolina,36900.0,2019,camioneta,mecanica
Gasolina,18900.0,2018,camioneta,automatica
Gasolina,34990.0,2020,camioneta,automatica
Gasolina,22500.0,2023,camioneta,automatica
Gasolina,62990.0,2024,camioneta,automatica
Gasolina,65900.0,2019,sedan,automatica
Gasolina,22900.0,2022,camioneta,automatica
Gasolina,28500.0,2017,camioneta,automatica
Gasolina,25700.0,2024,camioneta,automatica
Gasolina,22490.0,2022,camioneta,automatica
Gasolina,25900.0,2022,camioneta,automatica
Gasolina,29900.0,2022,camioneta,automatica
Gasolina,19000.0,2023,camioneta,mecanica
Gasolina,34900.0,2013,camioneta,mecanica
Gasolina,35990.0,2023,camioneta,automatica
Gasolina,19900.0,2018,camioneta,automatica
Gasolina,22290.0,2022,camioneta,automatica
Gasolina,16900.0,2017,camioneta,automatica
Gasolina,14500.0,2023,camioneta,automatica
Gasolina,17900.0,2019,camioneta,automatica
Gasolina,24490.0,2023,camioneta,automatica
Gasolina,32500.0,2024,camioneta,automatica
Gasolina,21900.0,2018,camioneta,automatica
Gasolina,35900.0,2021,camioneta,automatica
Gasolina,17700.0,2024,camioneta,automatica
Gasolina,60000.0,2022,camioneta,automatica
Gasolina,34200.0,2021,camioneta,automatica
Gasolina,31900.0,2022,camioneta,automatica
Gasolina,15990.0,2023,sedan,automatica
Gasolina,98991.0,2024,camioneta,automatica
Gasolina,52900.0,2021,camioneta,automatica
Gasolina,12900.0,2023,camioneta,mecanica
Gasolina,22500.0,2025,camioneta,automatica
Gasolina,16000.0,2019,camioneta,automatica
Gasolina,18900.0,2023,camioneta,mecanica
Gasolina,18900.0,2018,camioneta,automatica
Gasolina,16500.0,2023,camioneta,automatica
Gasolina,27900.0,2024,camioneta,automatica
Gasolina,13700.0,2023,camioneta,automatica
Gasolina,39900.0,2025,camioneta,automatica
Gasolina,36900.0,2022,camioneta,automatica
Gasolina,35000.0,2025,camioneta,automatica
Gasolina,52000.0,2023,camioneta,mecanica
Gasolina,19490.0,2024,sedan,automatica
Gasolina,20500.0,2018,camioneta,automatica
Gasolina,40900.0,2021,camioneta,automatica
Gasolina,17900.0,2018,camioneta,automatica
Gasolina,26000.0,2020,camioneta,automatica
Gasolina,18490.0,2024,camioneta,automatica
Gasolina,24900.0,2016,camioneta,automatica
Gasolina,39900.0,2024,camioneta,automatica
Gasolina,42900.0,2022,camioneta,automatica
Gasolina,32500.0,2021,camioneta,automatica
Gasolina,19900.0,2019,camioneta,automatica
Gasolina,27000.0,2022,camioneta,automatica
Gasolina,12300.0,2011,sedan,automatica
Gasolina,17900.0,2017,camioneta,automatica
Gasolina,16990.0,2021,camioneta,mecanica
Gasolina,12390.0,2015,camioneta,mecanica
Gasolina,34500.0,2024,camioneta,automatica
Gasolina,66900.0,2023,camioneta,automatica
Gasolina,45900.0,2023,camioneta,automatica
Gasolina,36900.0,2021,camioneta,automatica
Gasolina,33900.0,2021,camioneta,automatica
Gasolina,10900.0,2013,camioneta,automatica
Gasolina,16990.0,2012,camioneta,automatica
Gasolina,27990.0,2020,camioneta,automatica
Gasolina,73000.0,2016,camioneta,automatica
Gasolina,44500.0,2024,camioneta,automatica
Gasolina,56000.0,2025,camioneta,automatica
Gasolina,19900.0,2023,camioneta,automatica
Gasolina,18900.0,2019,camioneta,automatica
Gasolina,83000.0,2018,camioneta,automatica
Gasolina,18900.0,2018,camioneta,automatica
Gasolina,11500.0,2009,sedan,mecanica
Gasolina,85991.0,2023,camioneta,automatica
Gasolina,35990.0,2026,camioneta,automatica
Gasolina,22500.0,2019,camioneta,automatica
Gasolina,25900.0,2025,camioneta,automatica
Gasolina,32000.0,2022,camioneta,automatica
Gasolina,15500.0,2022,camioneta,automatica
Gasolina,35000.0,2022,camioneta,automatica
Gasolina,19000.0,2022,camioneta,automatica
Gasolina,13900.0,2015,camioneta,mecanica
Gasolina,56000.0,2019,camioneta,automatica
Gasolina,16900.0,2015,camioneta,automatica
Gasolina,25500.0,2024,camioneta,automatica
Gasolina,21990.0,2021,camioneta,automatica
Gasolina,44900.0,2021,camioneta,automatica
Gasolina,46000.0,2024,camioneta,automatica
Gasolina,87991.0,2025,camioneta,automatica
Gasolina,16900.0,2016,camioneta,automatica
Gasolina,23900.0,2024,camioneta,automatica
Gasolina,25500.0,2020,sedan,automatica
Gasolina,29000.0,2024,camioneta,automatica
Gasolina,28900.0,2023,camioneta,automatica
Gasolina,19900.0,2022,camioneta,automatica
Gasolina,47000.0,2024,camioneta,automatica
Gasolina,8990.0,2014,sedan,mecanica
Gasolina,42900.0,2020,camioneta,automatica
Gasolina,18200.0,2023,camioneta,automatica
Gasolina,17900.0,2017,sedan,automatica
Gasolina,16900.0,2017,camioneta,automatica
Gasolina,17990.0,2022,camioneta,mecanica
Gasolina,12900.0,2017,camioneta,mecanica
Gasolina,15900.0,2019,sedan,automatica
Gasolina,18900.0,2024,camioneta,automatica
Gasolina,24900.0,2024,camioneta,automatica
Gasolina,54500.0,2025,camioneta,automatica
Gasolina,21990.0,2022,camioneta,automatica
Gasolina,36500.0,2022,camioneta,automatica
Gasolina,15900.0,2020,camioneta,automatica
Gasolina,40900.0,2023,sedan,automatica
Gasolina,15290.0,2022,sedan,automatica
Gasolina,26900.0,2020,sedan,automatica
Gasolina,22490.0,2018,camioneta,automatica
Gasolina,19990.0,2024,camioneta,automatica
Gasolina,35190.0,2024,camioneta,automatica
Gasolina,8500.0,2019,camioneta,automatica
Gasolina,23990.0,2024,camioneta,automatica
Gasolina,63500.0,2024,camioneta,automatica
Gasolina,33900.0,2022,camioneta,automatica
Gasolina,30000.0,2023,camioneta,automatica
Gasolina,22500.0,2016,camioneta,automatica
Gasolina,13900.0,2020,sedan,automatica
Gasolina,18900.0,2024,camioneta,automatica
Gasolina,16800.0,2021,camioneta,automatica
Gasolina,19900.0,2024,camioneta,automatica
Gasolina,18900.0,2024,camioneta,automatica
Gasolina,28000.0,2019,camioneta,automatica
Gasolina,43990.0,2020,camioneta,automatica
Gasolina,24000.0,2024,camioneta,automatica
Gasolina,9500.0,2015,sedan,mecanica
Gasolina,14900.0,2011,camioneta,automatica
Gasolina,27900.0,2019,camioneta,automatica
Gasolina,56000.0,2024,camioneta,automatica
Gasolina,23900.0,2018,camioneta,automatica
Gasolina,20900.0,2024,camioneta,automatica
Gasolina,23900.0,2022,sedan,automatica
Gasolina,33500.0,2023,camioneta,automatica
Gasolina,27000.0,2020,camioneta,automatica
Gasolina,84900.0,2025,camioneta,automatica
Gasolina,29900.0,2019,camioneta,automatica
Gasolina,24900.0,2022,camioneta,automatica
Gasolina,28500.0,2022,camioneta,automatica
Gasolina,23000.0,2018,camioneta,automatica
Gasolina,24900.0,2019,camioneta,automatica
Gasolina,40700.0,2020,camioneta,automatica
Gasolina,22000.0,2021,camioneta,automatica
Gasolina,26000.0,2019,camioneta,automatica
Gasolina,19990.0,2018,camioneta,automatica
Gasolina,16990.0,2018,camioneta,automatica
Gasolina,51991.0,2024,camioneta,automatica
Gasolina,42490.0,2025,camioneta,automatica
Gasolina,18900.0,2017,sedan,automatica
Gasolina,31500.0,2022,camioneta,automatica
Gasolina,72900.0,2024,camioneta,automatica
Gasolina,18990.0,2023,camioneta,mecanica
Gasolina,16000.0,2018,camioneta,automatica
Gasolina,27000.0,2019,camioneta,automatica
Gasolina,21500.0,2018,camioneta,automatica
Gasolina,23000.0,2024,camioneta,automatica
Gasolina,20100.0,2020,camioneta,automatica
Gasolina,75991.0,2023,camioneta,automatica
Gasolina,31900.0,2024,camioneta,automatica
Gasolina,76991.0,2023,camioneta,automatica
Gasolina,52991.0,2025,camioneta,automatica
Gasolina,18990.0,2018,camioneta,automatica
Gasolina,18000.0,2023,camioneta,automatica
Gasolina,14990.0,2023,camioneta,automatica
Gasolina,26700.0,2024,sedan,automatica
Gasolina,27100.0,2018,camioneta,automatica
Gasolina,78991.0,2024,camioneta,automatica
Gasolina,14000.0,2020,camioneta,mecanica
Gasolina,37000.0,2023,camioneta,automatica
Gasolina,16000.0,2019,camioneta,automatica
Gasolina,21990.0,2021,camioneta,automatica
Dual,13000.0,2022,sedan,mecanica
Gasolina,53991.0,2023,sedan,automatica
Gasolina,35991.0,2022,camioneta,automatica
Gasolina,22300.0,2023,camioneta,automatica
Gasolina,16490.0,2023,camioneta,automatica
Gasolina,19000.0,2022,camioneta,automatica
Gasolina,15490.0,2020,camioneta,mecanica
Gasolina,56991.0,2024,sedan,automatica
Gasolina,15500.0,2018,camioneta,automatica
Gasolina,15000.0,2019,camioneta,mecanica
Gasolina,22990.0,2022,camioneta,mecanica
Gasolina,19990.0,2023,camioneta,automatica
Gasolina,69991.0,2022,camioneta,automatica
Gasolina,16000.0,2023,sedan,automatica
Gasolina,16500.0,2018,camioneta,automatica
Gasolina,21990.0,2025,camioneta,mecanica
Gasolina,27500.0,2024,camioneta,automatica
Gasolina,15500.0,2019,camioneta,mecanica
Gasolina,13200.0,2023,sedan,mecanica
Gasolina,20500.0,2019,camioneta,automatica
Gasolina,49991.0,2019,camioneta,automatica
Gasolina,75900.0,2024,camioneta,automatica
Gasolina,40000.0,2022,camioneta,automatica
Gasolina,15000.0,2021,camioneta,mecanica
Gasolina,12000.0,2018,sedan,mecanica
Gasolina,20500.0,2023,camioneta,automatica
Gasolina,14990.0,2023,camioneta,mecanica
Gasolina,21500.0,2022,camioneta,automatica
Gasolina,50000.0,2019,camioneta,automatica
Gasolina,70991.0,2023,camioneta,automatica
Gasolina,16990.0,2022,camioneta,mecanica
Gasolina,24000.0,2024,camioneta,automatica
Gasolina,28490.0,2024,camioneta,automatica
Gasolina,20990.0,2023,camioneta,automatica
Gasolina,35000.0,2022,camioneta,automatica
Gasolina,19000.0,2024,camioneta,automatica
Gasolina,16990.0,2023,camioneta,automatica
Gasolina,23290.0,2026,camioneta,automatica
Gasolina,37900.0,2022,camioneta,automatica
Gasolina,27900.0,2020,camioneta,automatica
Gasolina,44900.0,2021,camioneta,automatica
Gasolina,19900.0,2020,camioneta,automatica
Gasolina,25590.0,2026,sedan,mecanica
Gasolina,17900.0,2023,camioneta,automatica
Gasolina,25990.0,2026,camioneta,mecanica
Gasolina,18900.0,2022,camioneta,automatica
Gasolina,22500.0,2016,camioneta,automatica
Gasolina,27900.0,2023,camioneta,automatica
Gasolina,33900.0,2022,camioneta,automatica
Dual,16900.0,2021,camioneta,automatica
Gasolina,19900.0,2018,camioneta,automatica
Gasolina,25900.0,2020,sedan,automatica
Gasolina,27990.0,2026,camioneta,mecanica
Gasolina,28990.0,2025,sedan,automatica
Gasolina,52990.0,2025,camioneta,automatica
Gasolina,34860.0,2026,camioneta,automatica
Gasolina,84990.0,2025,camioneta,automatica
Gasolina,17990.0,2026,camioneta,mecanica
Gasolina,19990.0,2024,camioneta,automatica
Gasolina,18990.0,2026,camioneta,automatica
Gasolina,16990.0,2025,camioneta,mecanica
Gasolina,13490.0,2026,camioneta,mecanica
Gasolina,20790.0,2025,sedan,mecanica
Gasolina,28090.0,2026,camioneta,mecanica
Gasolina,22190.0,2026,camioneta,mecanica
Gasolina,14590.0,2023,sedan,mecanica
Gasolina,17590.0,2025,camioneta,automatica
Gasolina,54490.0,2026,camioneta,automatica
Gasolina,39990.0,2025,camioneta,automatica
Gasolina,25990.0,2025,sedan,mecanica
Gasolina,17890.0,2026,camioneta,mecanica
Gasolina,21590.0,2026,camioneta,mecanica
Gasolina,15790.0,2026,camioneta,automatica
Gasolina,22490.0,2025,camioneta,automatica
Gasolina,19690.0,2026,camioneta,mecanica
Gasolina,17990.0,2025,camioneta,mecanica
Gasolina,10990.0,2026,camioneta,mecanica
Gasolina,25990.0,2026,camioneta,automatica
Gasolina,29490.0,2026,camioneta,mecanica
Gasolina,28490.0,2025,camioneta,automatica
Gasolina,18190.0,2024,sedan,mecanica
Gasolina,25990.0,2025,camioneta,automatica
Gasolina,17990.0,2026,camioneta,mecanica
Gasolina,34990.0,2024,sedan,automatica
Gasolina,24490.0,2026,camioneta,automatica
Gasolina,43990.0,2026,camioneta,automatica
Gasolina,54990.0,2025,camioneta,automatica
Gasolina,43990.0,2025,sedan,automatica
Gasolina,25990.0,2025,camioneta,automatica
Gasolina,34730.0,2026,camioneta,mecanica
Gasolina,39990.0,2025,camioneta,automatica
Gasolina,19990.0,2024,sedan,automatica
Gasolina,25590.0,2026,camioneta,mecanica
Gasolina,23490.0,2025,camioneta,mecanica
Gasolina,48490.0,2026,camioneta,automatica
Gasolina,16950.0,2026,sedan,mecanica
Gasolina,26990.0,2025,camioneta,mecanica
Gasolina,17290.0,2026,sedan,mecanica
Gasolina,12390.0,2026,sedan,mecanica
Gasolina,11190.0,2025,sedan,mecanica
Gasolina,24490.0,2024,camioneta,automatica
Gasolina,84800.0,2024,camioneta,automatica
Gasolina,30990.0,2026,camioneta,automatica
Gasolina,28990.0,2025,sedan,automatica
Gasolina,7369.0,2009,sedan,automatica
Gasolina,20900.0,2018,camioneta,automatica
Gasolina,26500.0,2019,camioneta,automatica
Gasolina,18800.0,2024,camioneta,automatica
Gasolina,14800.0,2019,camioneta,mecanica
Dual,11000.0,2016,sedan,automatica
Gasolina,13400.0,2020,sedan,mecanica
Gasolina,20000.0,2016,camioneta,automatica
Gasolina,18900.0,2023,camioneta,automatica
Gasolina,33500.0,2025,camioneta,automatica
Gasolina,13000.0,2025,camioneta,automatica
Dual,17000.0,2022,camioneta,automatica
Gasolina,17000.0,2023,sedan,automatica
Gasolina,14200.0,2019,sedan,automatica
Gasolina,14700.0,2011,camioneta,automatica
Gasolina,8500.0,2016,sedan,mecanica
