fuel,subcategory,transmission,price,year
1.0,1.0,1.0,10900.0,2021.0
1.0,0.0,0.0,19900.0,2020.0
1.0,0.0,0.0,15900.0,2018.0
1.0,0.0,0.0,27990.0,2024.0
1.0,1.0,1.0,7900.0,2015.0
1.0,0.0,0.0,18900.0,2020.0
1.0,0.0,0.0,23000.0,2023.0
1.0,0.0,0.0,19900.0,2017.0
1.0,0.0,1.0,11900.0,2015.0
1.0,1.0,0.0,30900.0,2023.0
1.0,0.0,0.0,27000.0,2022.0
1.0,1.0,1.0,16990.0,2023.0
1.0,0.0,0.0,36000.0,2025.0
1.0,0.0,0.0,11900.0,2015.0
1.0,0.0,0.0,26000.0,2017.0
1.0,0.0,1.0,12900.0,2020.0
1.0,0.0,0.0,32500.0,2020.0
1.0,0.0,0.0,23000.0,2021.0
1.0,0.0,0.0,32900.0,2018.0
1.0,0.0,1.0,17900.0,2021.0
1.0,0.0,0.0,37500.0,2023.0
1.0,0.0,0.0,28590.0,2025.0
1.0,0.0,0.0,52900.0,2022.0
1.0,0.0,0.0,17500.0,2018.0
1.0,0.0,0.0,24900.0,2018.0
1.0,0.0,0.0,154990.0,2023.0
1.0,0.0,0.0,23700.0,2019.0
1.0,0.0,0.0,17500.0,2012.0
1.0,0.0,0.0,36690.0,2023.0
1.0,1.0,1.0,10990.0,2023.0
1.0,0.0,0.0,18900.0,2021.0
1.0,0.0,0.0,22900.0,2008.0
1.0,0.0,1.0,14490.0,2023.0
1.0,0.0,1.0,36900.0,2019.0
1.0,0.0,0.0,18900.0,2018.0
1.0,0.0,0.0,34990.0,2020.0
1.0,0.0,0.0,22500.0,2023.0
1.0,0.0,0.0,62990.0,2024.0
1.0,1.0,0.0,65900.0,2019.0
1.0,0.0,0.0,22900.0,2022.0
1.0,0.0,0.0,28500.0,2017.0
1.0,0.0,0.0,25700.0,2024.0
1.0,0.0,0.0,22490.0,2022.0
1.0,0.0,0.0,25900.0,2022.0
1.0,0.0,0.0,29900.0,2022.0
1.0,0.0,1.0,19000.0,2023.0
1.0,0.0,1.0,34900.0,2013.0
1.0,0.0,0.0,35990.0,2023.0
1.0,0.0,0.0,19900.0,2018.0
1.0,0.0,0.0,22290.0,2022.0
1.0,0.0,0.0,16900.0,2017.0
1.0,0.0,0.0,14500.0,2023.0
1.0,0.0,0.0,17900.0,2019.0
1.0,0.0,0.0,24490.0,2023.0
1.0,0.0,0.0,32500.0,2024.0
1.0,0.0,0.0,21900.0,2018.0
1.0,0.0,0.0,35900.0,2021.0
1.0,0.0,0.0,17700.0,2024.0
1.0,0.0,0.0,60000.0,2022.0
1.0,0.0,0.0,34200.0,2021.0
1.0,0.0,0.0,31900.0,2022.0
1.0,1.0,0.0,15990.0,2023.0
1.0,0.0,0.0,98991.0,2024.0
1.0,0.0,0.0,52900.0,2021.0
1.0,0.0,1.0,12900.0,2023.0
1.0,0.0,0.0,22500.0,2025.0
1.0,0.0,0.0,16000.0,2019.0
1.0,0.0,1.0,18900.0,2023.0
1.0,0.0,0.0,18900.0,2018.0
1.0,0.0,0.0,16500.0,2023.0
1.0,0.0,0.0,27900.0,2024.0
1.0,0.0,0.0,13700.0,2023.0
1.0,0.0,0.0,39900.0,2025.0
1.0,0.0,0.0,36900.0,2022.0
1.0,0.0,0.0,35000.0,2025.0
1.0,0.0,1.0,52000.0,2023.0
1.0,1.0,0.0,19490.0,2024.0
1.0,0.0,0.0,20500.0,2018.0
1.0,0.0,0.0,40900.0,2021.0
1.0,0.0,0.0,17900.0,2018.0
1.0,0.0,0.0,26000.0,2020.0
1.0,0.0,0.0,18490.0,2024.0
1.0,0.0,0.0,24900.0,2016.0
1.0,0.0,0.0,39900.0,2024.0
1.0,0.0,0.0,42900.0,2022.0
1.0,0.0,0.0,32500.0,2021.0
1.0,0.0,0.0,19900.0,2019.0
1.0,0.0,0.0,27000.0,2022.0
1.0,1.0,0.0,12300.0,2011.0
1.0,0.0,0.0,17900.0,2017.0
1.0,0.0,1.0,16990.0,2021.0
1.0,0.0,1.0,12390.0,2015.0
1.0,0.0,0.0,34500.0,2024.0
1.0,0.0,0.0,66900.0,2023.0
1.0,0.0,0.0,45900.0,2023.0
1.0,0.0,0.0,36900.0,2021.0
1.0,0.0,0.0,33900.0,2021.0
1.0,0.0,0.0,10900.0,2013.0
1.0,0.0,0.0,16990.0,2012.0
1.0,0.0,0.0,27990.0,2020.0
1.0,0.0,0.0,73000.0,2016.0
1.0,0.0,0.0,44500.0,2024.0
1.0,0.0,0.0,56000.0,2025.0
1.0,0.0,0.0,19900.0,2023.0
1.0,0.0,0.0,18900.0,2019.0
1.0,0.0,0.0,83000.0,2018.0
1.0,0.0,0.0,18900.0,2018.0
1.0,1.0,1.0,11500.0,2009.0
1.0,0.0,0.0,85991.0,2023.0
1.0,0.0,0.0,35990.0,2026.0
1.0,0.0,0.0,22500.0,2019.0
1.0,0.0,0.0,25900.0,2025.0
1.0,0.0,0.0,32000.0,2022.0
1.0,0.0,0.0,15500.0,2022.0
1.0,0.0,0.0,35000.0,2022.0
1.0,0.0,0.0,19000.0,2022.0
1.0,0.0,1.0,13900.0,2015.0
1.0,0.0,0.0,56000.0,2019.0
1.0,0.0,0.0,16900.0,2015.0
1.0,0.0,0.0,25500.0,2024.0
1.0,0.0,0.0,21990.0,2021.0
1.0,0.0,0.0,44900.0,2021.0
1.0,0.0,0.0,46000.0,2024.0
1.0,0.0,0.0,87991.0,2025.0
1.0,0.0,0.0,16900.0,2016.0
1.0,0.0,0.0,23900.0,2024.0
1.0,1.0,0.0,25500.0,2020.0
1.0,0.0,0.0,29000.0,2024.0
1.0,0.0,0.0,28900.0,2023.0
1.0,0.0,0.0,19900.0,2022.0
1.0,0.0,0.0,47000.0,2024.0
1.0,1.0,1.0,8990.0,2014.0
1.0,0.0,0.0,42900.0,2020.0
1.0,0.0,0.0,18200.0,2023.0
1.0,1.0,0.0,17900.0,2017.0
1.0,0.0,0.0,16900.0,2017.0
1.0,0.0,1.0,17990.0,2022.0
1.0,0.0,1.0,12900.0,2017.0
1.0,1.0,0.0,15900.0,2019.0
1.0,0.0,0.0,18900.0,2024.0
1.0,0.0,0.0,24900.0,2024.0
1.0,0.0,0.0,54500.0,2025.0
1.0,0.0,0.0,21990.0,2022.0
1.0,0.0,0.0,36500.0,2022.0
1.0,0.0,0.0,15900.0,2020.0
1.0,1.0,0.0,40900.0,2023.0
1.0,1.0,0.0,15290.0,2022.0
1.0,1.0,0.0,26900.0,2020.0
1.0,0.0,0.0,22490.0,2018.0
1.0,0.0,0.0,19990.0,2024.0
1.0,0.0,0.0,35190.0,2024.0
1.0,0.0,0.0,8500.0,2019.0
1.0,0.0,0.0,23990.0,2024.0
1.0,0.0,0.0,63500.0,2024.0
1.0,0.0,0.0,33900.0,2022.0
1.0,0.0,0.0,30000.0,2023.0
1.0,0.0,0.0,22500.0,2016.0
1.0,1.0,0.0,13900.0,2020.0
1.0,0.0,0.0,18900.0,2024.0
1.0,0.0,0.0,16800.0,2021.0
1.0,0.0,0.0,19900.0,2024.0
1.0,0.0,0.0,18900.0,2024.0
1.0,0.0,0.0,28000.0,2019.0
1.0,0.0,0.0,43990.0,2020.0
1.0,0.0,0.0,24000.0,2024.0
1.0,1.0,1.0,9500.0,2015.0
1.0,0.0,0.0,14900.0,2011.0
1.0,0.0,0.0,27900.0,2019.0
1.0,0.0,0.0,56000.0,2024.0
1.0,0.0,0.0,23900.0,2018.0
1.0,0.0,0.0,20900.0,2024.0
1.0,1.0,0.0,23900.0,2022.0
1.0,0.0,0.0,33500.0,2023.0
1.0,0.0,0.0,27000.0,2020.0
1.0,0.0,0.0,84900.0,2025.0
1.0,0.0,0.0,29900.0,2019.0
1.0,0.0,0.0,24900.0,2022.0
1.0,0.0,0.0,28500.0,2022.0
1.0,0.0,0.0,23000.0,2018.0
1.0,0.0,0.0,24900.0,2019.0
1.0,0.0,0.0,40700.0,2020.0
1.0,0.0,0.0,22000.0,2021.0
1.0,0.0,0.0,26000.0,2019.0
1.0,0.0,0.0,19990.0,2018.0
1.0,0.0,0.0,16990.0,2018.0
1.0,0.0,0.0,51991.0,2024.0
1.0,0.0,0.0,42490.0,2025.0
1.0,1.0,0.0,18900.0,2017.0
1.0,0.0,0.0,31500.0,2022.0
1.0,0.0,0.0,72900.0,2024.0
1.0,0.0,1.0,18990.0,2023.0
1.0,0.0,0.0,16000.0,2018.0
1.0,0.0,0.0,27000.0,2019.0
1.0,0.0,0.0,21500.0,2018.0
1.0,0.0,0.0,23000.0,2024.0
1.0,0.0,0.0,20100.0,2020.0
1.0,0.0,0.0,75991.0,2023.0
1.0,0.0,0.0,31900.0,2024.0
1.0,0.0,0.0,76991.0,2023.0
1.0,0.0,0.0,52991.0,2025.0
1.0,0.0,0.0,18990.0,2018.0
1.0,0.0,0.0,18000.0,2023.0
1.0,0.0,0.0,14990.0,2023.0
1.0,1.0,0.0,26700.0,2024.0
1.0,0.0,0.0,27100.0,2018.0
1.0,0.0,0.0,78991.0,2024.0
1.0,0.0,1.0,14000.0,2020.0
1.0,0.0,0.0,37000.0,2023.0
1.0,0.0,0.0,16000.0,2019.0
1.0,0.0,0.0,21990.0,2021.0
0.0,1.0,1.0,13000.0,2022.0
1.0,1.0,0.0,53991.0,2023.0
1.0,0.0,0.0,35991.0,2022.0
1.0,0.0,0.0,22300.0,2023.0
1.0,0.0,0.0,16490.0,2023.0
1.0,0.0,0.0,19000.0,2022.0
1.0,0.0,1.0,15490.0,2020.0
1.0,1.0,0.0,56991.0,2024.0
1.0,0.0,0.0,15500.0,2018.0
1.0,0.0,1.0,15000.0,2019.0
1.0,0.0,1.0,22990.0,2022.0
1.0,0.0,0.0,19990.0,2023.0
1.0,0.0,0.0,69991.0,2022.0
1.0,1.0,0.0,16000.0,2023.0
1.0,0.0,0.0,16500.0,2018.0
1.0,0.0,1.0,21990.0,2025.0
1.0,0.0,0.0,27500.0,2024.0
1.0,0.0,1.0,15500.0,2019.0
1.0,1.0,1.0,13200.0,2023.0
1.0,0.0,0.0,20500.0,2019.0
1.0,0.0,0.0,49991.0,2019.0
1.0,0.0,0.0,75900.0,2024.0
1.0,0.0,0.0,40000.0,2022.0
1.0,0.0,1.0,15000.0,2021.0
1.0,1.0,1.0,12000.0,2018.0
1.0,0.0,0.0,20500.0,2023.0
1.0,0.0,1.0,14990.0,2023.0
1.0,0.0,0.0,21500.0,2022.0
1.0,0.0,0.0,50000.0,2019.0
